# Nodes Rounds Time Sum 
1 1 1.9e-5 1
2 1 2.5e-5 2
4 1 5.1e-5 4
8 1 3.4e-5 8
16 1 6.5e-5 16
32 1 1.17e-4 32
64 1 2.54e-4 64
128 1 4.14e-4 128
256 1 0.001156 256
512 1 0.002161 512
1024 1 0.004519 1024
2048 1 0.007328 2048
4096 1 0.015545 4096
8192 1 0.032171 8192
16384 1 0.063417 16384
32768 1 0.127317 32768
65536 1 0.267336 65536
131072 1 0.549503 131072
1 2 2.4e-5 2
2 2 1.9e-5 4
4 2 4.5e-5 8
8 2 6.7e-5 16
16 2 1.23e-4 32
32 2 1.9e-4 64
64 2 6.99e-4 128
128 2 5.32e-4 256
256 2 0.001371 512
512 2 0.002559 1024
1024 2 0.005422 2048
2048 2 0.011746 4096
4096 2 0.026062 8192
8192 2 0.049634 16384
16384 2 0.10326 32768
32768 2 0.209485 65536
65536 2 0.272193 131072
131072 2 0.601973 262144
1 4 2.5e-5 4
2 4 3.1e-5 8
4 4 5.7e-5 16
8 4 7.22e-4 32
16 4 1.64e-4 64
32 4 2.82e-4 128
64 4 5.54e-4 256
128 4 0.001052 512
256 4 0.002355 1024
512 4 0.005643 2048
1024 4 0.010441 4096
2048 4 0.022723 8192
4096 4 0.03944 16384
8192 4 0.082523 32768
16384 4 0.163336 65536
32768 4 0.14804 131072
65536 4 0.379099 262144
131072 4 0.726504 524288
1 8 1.7e-5 8
2 8 5.5e-5 16
4 8 9.2e-5 32
8 8 1.59e-4 64
16 8 3.11e-4 128
32 8 5.73e-4 256
64 8 0.001083 512
128 8 0.002071 1024
256 8 0.003783 2048
512 8 0.00746 4096
1024 8 0.017854 8192
2048 8 0.038433 16384
4096 8 0.078658 32768
8192 8 0.180832 65536
16384 8 0.109377 131072
32768 8 0.230012 262144
65536 8 0.472825 524288
131072 8 0.993607 1048576
1 16 2.6e-5 16
2 16 9.6e-5 32
4 16 1.54e-4 64
8 16 2.75e-4 128
16 16 5.53e-4 256
32 16 0.001023 512
64 16 0.003312 1024
128 16 0.003771 2048
256 16 0.007088 4096
512 16 0.017018 8192
1024 16 0.034583 16384
2048 16 0.072736 32768
4096 16 0.180666 65536
8192 16 0.089598 131072
16384 16 0.174336 262144
32768 16 0.367832 524288
65536 16 0.747067 1048576
131072 16 1.554071 2097152
1 32 2.7e-5 32
2 32 1.52e-4 64
4 32 3.49e-4 128
8 32 5.49e-4 256
16 32 0.001043 512
32 32 0.001841 1024
64 32 0.004561 2048
128 32 0.006652 4096
256 32 0.015708 8192
512 32 0.030926 16384
1024 32 0.064322 32768
2048 32 0.151937 65536
4096 32 0.077867 131072
8192 32 0.155725 262144
16384 32 0.338502 524288
32768 32 0.671541 1048576
65536 32 1.351371 2097152
131072 32 2.752133 4194304
1 64 2.7e-5 64
2 64 4.61e-4 128
4 64 6.49e-4 256
8 64 0.001101 512
16 64 0.001826 1024
32 64 0.003387 2048
64 64 0.007774 4096
128 64 0.015946 8192
256 64 0.03206 16384
512 64 0.05952 32768
1024 64 0.12286 65536
2048 64 0.061473 131072
4096 64 0.1466 262144
8192 64 0.308578 524288
16384 64 0.597203 1048576
32768 64 1.17428 2097152
65536 64 2.479214 4194304
131072 64 6.088077 8388608
1 128 7.0e-5 128
2 128 9.74e-4 256
4 128 0.00178 512
8 128 0.003377 1024
16 128 0.006363 2048
32 128 0.012927 4096
64 128 0.026641 8192
128 128 0.029903 16384
256 128 0.065001 32768
512 128 0.153942 65536
1024 128 0.077365 131072
2048 128 0.188323 262144
4096 128 0.47521 524288
8192 128 0.698376 1048576
16384 128 1.305256 2097152
32768 128 2.357229 4194304
65536 128 4.659194 8388608
131072 128 9.369844 16777216
1 256 6.2e-5 256
2 256 0.001033 512
4 256 0.00182 1024
8 256 0.003251 2048
16 256 0.006437 4096
32 256 0.013014 8192
64 256 0.02722 16384
128 256 0.054678 32768
256 256 0.11916 65536
512 256 0.04792 131072
1024 256 0.099473 262144
2048 256 0.204576 524288
4096 256 0.569438 1048576
8192 256 1.105666 2097152
16384 256 2.213237 4194304
32768 256 4.660954 8388608
65536 256 8.982747 16777216
131072 256 18.441916 33554432
1 512 0.0001 512
2 512 0.001681 1024
4 512 0.003231 2048
8 512 0.006399 4096
16 512 0.012939 8192
32 512 0.027286 16384
64 512 0.056339 32768
128 512 0.114858 65536
256 512 0.047808 131072
512 512 0.092973 262144
1024 512 0.196342 524288
2048 512 0.405664 1048576
4096 512 1.08683 2097152
8192 512 2.199374 4194304
16384 512 4.461631 8388608
32768 512 9.084731 16777216
65536 512 17.78618 33554432
131072 512 38.99754 67108864
1 1024 1.7e-4 1024
2 1024 0.003233 2048
4 1024 0.006261 4096
8 1024 0.013581 8192
16 1024 0.027894 16384
32 1024 0.053882 32768
64 1024 0.116884 65536
128 1024 0.052137 131072
256 1024 0.09996 262144
512 1024 0.210861 524288
1024 1024 0.388087 1048576
2048 1024 0.806507 2097152
4096 1024 2.077864 4194304
8192 1024 4.403944 8388608
16384 1024 9.099188 16777216
32768 1024 17.82432 33554432
65536 1024 35.430785 67108864
131072 1024 72.392085 134217728
1 2048 3.13e-4 2048
2 2048 0.00716 4096
4 2048 0.014372 8192
8 2048 0.030993 16384
16 2048 0.060184 32768
32 2048 0.130205 65536
64 2048 0.076466 131072
128 2048 0.096434 262144
256 2048 0.178914 524288
512 2048 0.370246 1048576
1024 2048 0.727794 2097152
2048 2048 1.550164 4194304
4096 2048 4.107145 8388608
8192 2048 8.689597 16777216
16384 2048 17.657348 33554432
32768 2048 35.598603 67108864
65536 2048 71.129413 134217728
131072 2048 145.494108 268435456
1 4096 5.87e-4 4096
2 4096 0.012349 8192
4 4096 0.031894 16384
8 4096 0.052377 32768
16 4096 0.109852 65536
32 4096 0.05582 131072
64 4096 0.105454 262144
128 4096 0.177142 524288
256 4096 0.356392 1048576
512 4096 0.720872 2097152
1024 4096 1.452748 4194304
2048 4096 3.166636 8388608
4096 4096 8.147876 16777216
8192 4096 18.018647 33554432
