# Nodes Rounds Time Sum 
1 1 5.5e-5 1
2 1 3.9e-5 2
4 1 6.6e-5 4
8 1 0.0001 8
16 1 1.87e-4 16
32 1 8.49e-4 32
64 1 0.001023 64
128 1 0.00255 128
256 1 0.00396 256
512 1 0.008229 512
1024 1 0.017924 1024
2048 1 0.037921 2048
4096 1 0.074174 4096
8192 1 0.147431 8192
16384 1 0.305047 16384
32768 1 0.513341 32768
1 2 2.2e-5 2
2 2 4.1e-5 4
4 2 1.17e-4 8
8 2 1.05e-4 16
16 2 5.53e-4 32
32 2 6.5e-4 64
64 2 0.001418 128
128 2 0.003355 256
256 2 0.007197 512
512 2 0.017537 1024
1024 2 0.033593 2048
2048 2 0.065647 4096
4096 2 0.140576 8192
8192 2 0.24663 16384
16384 2 0.324781 32768
32768 2 0.61489 65536
1 4 2.1e-5 4
2 4 3.2e-5 8
4 4 1.14e-4 16
8 4 4.03e-4 32
16 4 8.11e-4 64
32 4 0.001266 128
64 4 0.002526 256
128 4 0.005849 512
256 4 0.015144 1024
512 4 0.030988 2048
1024 4 0.058313 4096
2048 4 0.103211 8192
4096 4 0.203541 16384
8192 4 0.196809 32768
16384 4 0.380642 65536
32768 4 0.779288 131072
1 8 4.1e-5 8
2 8 9.3e-5 16
4 8 1.26e-4 32
8 8 8.12e-4 64
16 8 0.002084 128
32 8 0.001416 256
64 8 0.001514 512
128 8 0.006907 1024
256 8 0.017289 2048
512 8 0.031889 4096
1024 8 0.066081 8192
2048 8 0.116795 16384
4096 8 0.151884 32768
8192 8 0.266731 65536
16384 8 0.503422 131072
32768 8 0.89735 262144
1 16 2.3e-5 16
2 16 2.47e-4 32
4 16 2.75e-4 64
8 16 2.36e-4 128
16 16 4.01e-4 256
32 16 0.001026 512
64 16 0.003997 1024
128 16 0.005734 2048
256 16 0.009823 4096
512 16 0.025055 8192
1024 16 0.066427 16384
2048 16 0.11054 32768
4096 16 0.193077 65536
8192 16 0.381918 131072
16384 16 0.595082 262144
32768 16 1.113725 524288
1 32 3.3e-5 32
2 32 2.68e-4 64
4 32 2.63e-4 128
8 32 4.25e-4 256
16 32 5.34e-4 512
32 32 0.001458 1024
64 32 0.004277 2048
128 32 0.007268 4096
256 32 0.024867 8192
512 32 0.035826 16384
1024 32 0.09758 32768
2048 32 0.117426 65536
4096 32 0.233511 131072
8192 32 0.461593 262144
16384 32 0.785642 524288
32768 32 1.465419 1048576
1 64 3.7e-5 64
2 64 3.49e-4 128
4 64 3.48e-4 256
8 64 5.05e-4 512
16 64 0.001069 1024
32 64 0.003343 2048
64 64 0.006348 4096
128 64 0.013951 8192
256 64 0.042666 16384
512 64 0.06965 32768
1024 64 0.107919 65536
2048 64 0.189832 131072
4096 64 0.37277 262144
8192 64 0.732917 524288
16384 64 1.294891 1048576
32768 64 2.475902 2097152
1 128 4.8e-5 128
2 128 4.2e-4 256
4 128 4.58e-4 512
8 128 0.001155 1024
16 128 0.002562 2048
32 128 0.004114 4096
64 128 0.015063 8192
128 128 0.02952 16384
256 128 0.055506 32768
512 128 0.068081 65536
1024 128 0.134601 131072
2048 128 0.319534 262144
4096 128 0.522737 524288
8192 128 1.114388 1048576
16384 128 2.155609 2097152
32768 128 4.277863 4194304
1 256 7.1e-5 256
2 256 6.76e-4 512
4 256 8.47e-4 1024
8 256 0.002402 2048
16 256 0.004842 4096
32 256 0.008994 8192
64 256 0.020395 16384
128 256 0.043398 32768
256 256 0.080443 65536
512 256 0.159252 131072
1024 256 0.344317 262144
2048 256 0.434457 524288
4096 256 1.077505 1048576
8192 256 2.235589 2097152
16384 256 4.187265 4194304
32768 256 8.095136 8388608
1 512 1.18e-4 512
2 512 0.001613 1024
4 512 0.002226 2048
8 512 0.005781 4096
16 512 0.011668 8192
32 512 0.028932 16384
64 512 0.038783 32768
128 512 0.048672 65536
256 512 0.101224 131072
512 512 0.258123 262144
1024 512 0.426864 524288
2048 512 0.808162 1048576
4096 512 2.011517 2097152
8192 512 4.093311 4194304
16384 512 8.959227 8388608
32768 512 14.956454 16777216
1 1024 2.04e-4 1024
2 1024 0.00141 2048
4 1024 0.004862 4096
8 1024 0.008423 8192
16 1024 0.013202 16384
32 1024 0.028479 32768
64 1024 0.052453 65536
128 1024 0.106006 131072
256 1024 0.208697 262144
512 1024 0.428852 524288
1024 1024 0.72597 1048576
2048 1024 1.466685 2097152
4096 1024 3.444815 4194304
8192 1024 7.019267 8388608
16384 1024 13.907351 16777216
32768 1024 28.724852 33554432
1 2048 4.3e-4 2048
2 2048 0.002633 4096
4 2048 0.006079 8192
8 2048 0.017433 16384
16 2048 0.0386 32768
32 2048 0.059788 65536
64 2048 0.119412 131072
128 2048 0.195272 262144
256 2048 0.35958 524288
512 2048 0.701059 1048576
1024 2048 1.414955 2097152
2048 2048 2.98142 4194304
4096 2048 6.926759 8388608
8192 2048 14.110571 16777216
16384 2048 27.491588 33554432
32768 2048 54.59317 67108864
1 4096 7.02e-4 4096
2 4096 0.00798 8192
4 4096 0.017345 16384
8 4096 0.042073 32768
16 4096 0.062011 65536
32 4096 0.084059 131072
64 4096 0.19331 262144
128 4096 0.40343 524288
256 4096 0.699988 1048576
512 4096 1.383619 2097152
1024 4096 3.236412 4194304
2048 4096 9.089397 8388608
4096 4096 13.148657 16777216
8192 4096 27.472878 33554432
16384 4096 55.6929 67108864
32768 4096 112.12393 134217728
1 8192 0.001551 8192
2 8192 0.02284 16384
4 8192 0.036953 32768
8 8192 0.051283 65536
16 8192 0.087322 131072
32 8192 0.174935 262144
64 8192 0.363823 524288
128 8192 0.693884 1048576
256 8192 1.360422 2097152
512 8192 3.161172 4194304
1024 8192 5.4486 8388608
2048 8192 11.242488 16777216
4096 8192 26.148058 33554432
8192 8192 55.10867 67108864
16384 8192 109.08179 134217728
32768 8192 224.273582 268435456
1 16384 0.002916 16384
2 16384 0.035055 32768
4 16384 0.0695 65536
8 16384 0.098836 131072
16 16384 0.198382 262144
32 16384 0.34731 524288
64 16384 0.742171 1048576
128 16384 1.618414 2097152
256 16384 3.160749 4194304
512 16384 5.531472 8388608
1024 16384 10.802015 16777216
2048 16384 26.558363 33554432
4096 16384 52.769675 67108864
8192 16384 110.33591 134217728
16384 16384 220.613844 268435456
32768 16384 436.00913 536870912
1 32768 0.005756 32768
2 32768 0.059669 65536
4 32768 0.095073 131072
8 32768 0.192661 262144
16 32768 0.385807 524288
32 32768 0.668494 1048576
64 32768 1.570196 2097152
128 32768 3.228559 4194304
256 32768 5.340948 8388608
512 32768 10.76022 16777216
1024 32768 23.674801 33554432
2048 32768 52.627928 67108864
4096 32768 105.877724 134217728
8192 32768 218.807397 268435456
16384 32768 439.874084 536870912
32768 32768 893.258549 1073741824
