# Records Time Status 
10 0.039917 true
20 0.003709 true
30 0.004875 true
40 0.006558 true
50 0.007632 true
60 0.009189 true
70 0.013872 true
80 0.01258 true
90 0.013905 true
100 0.02403 true
200 0.032806 true
300 0.049521 true
400 0.066997 true
500 0.074059 true
600 0.096062 true
700 0.12853 true
800 0.141742 true
900 0.14336 true
1000 0.189267 true
2000 0.290345 true
3000 0.436316 true
4000 0.586651 true
5000 0.720493 true
6000 0.884998 true
7000 0.987388 true
8000 1.147163 true
9000 1.291048 true
10000 1.399035 true
20000 2.871813 true
30000 4.472094 true
40000 5.890644 true
50000 7.432772 true
60000 8.933587 true
70000 10.923319 true
80000 11.890968 true
90000 13.570074 true
100000 15.981556 true
200000 30.693771 true
300000 46.518806 true
400000 68.300751 true
500000 80.213607 true
600000 96.225105 true
700000 112.904203 true
800000 130.778708 true
900000 150.821931 true
1000000 166.879843 true
