# Records Time Status 
10 0.015186 true
20 0.002377 true
30 0.003235 true
40 0.005419 true
50 0.006281 true
60 0.008662 true
70 0.010295 true
80 0.014412 true
90 0.012256 true
100 0.013308 true
200 0.02522 true
300 0.045142 true
400 0.054317 true
500 0.06845 true
600 0.085542 true
700 0.100502 true
800 0.112962 true
900 0.12607 true
1000 0.123211 true
2000 0.270117 true
3000 0.408934 true
4000 0.553804 true
5000 0.687486 true
6000 0.804372 true
7000 0.975788 true
8000 1.077391 true
9000 1.257235 true
10000 1.371216 true
20000 2.758783 true
30000 4.102099 true
40000 5.389213 true
50000 7.138733 true
60000 8.373206 true
70000 9.651111 true
80000 11.02811 true
90000 12.494565 true
100000 14.030779 true
200000 28.087346 true
300000 42.128473 true
400000 56.397938 true
500000 71.277793 true
600000 85.403167 true
700000 105.126784 true
800000 115.480503 true
900000 130.210149 true
1000000 146.624721 true
